,Name,Ratings,Duration,Language,Level,Total Ratings,Enrolled,Hours Per Week,Subtitles,Prerequisite,Link
0,Google Data Analytics Professional Certificate,4.8/5,6 Months,English,Beginner Level,"77,398","1,114,824",10.0,['English'],No,https://www.coursera.org/professional-certificates/google-data-analytics
1,IBM Data Science Professional Certificate,4.6/5,11 Months,English,Beginner Level,"57,528","127,465",4.0,"['English,', 'Arabic,', 'French,', 'Portuguese', '(European),', 'Italian,', 'Vietnamese,', 'German,', 'Russian,', 'Turkish,', 'Spanish,', 'Persian,', 'Korean']",No,https://www.coursera.org/professional-certificates/ibm-data-science
2,IBM Data Analyst Professional Certificate,4.6/5,11 Months,English,Beginner Level,"9,551","85,586",3.0,"['English,', 'Arabic,', 'French,', 'Portuguese', '(European),', 'Italian,', 'Vietnamese,', 'German,', 'Russian,', 'Spanish,', 'Korean,', 'Persian,', 'Turkish']",No,https://www.coursera.org/professional-certificates/ibm-data-analyst
3,IBM Data Engineering Professional Certificate,4.6/5,15 Months,English,Beginner Level,"1,978","25,900",4.0,"['English,', 'Korean,', 'Arabic,', 'Persian']",No,https://www.coursera.org/professional-certificates/ibm-data-engineer
4,Meta Database Engineer Professional Certificate,4.6,6,English,Beginner Level,144,"7,367",6.0,['English'],,https://www.coursera.org/professional-certificates/meta-database-engineer
5,IBM Data Analytics with Excel and R Professional Certificate,4.7,11,English,Beginner Level,"1,025","5,523",3.0,"['English,', 'Arabic,', 'French,', 'Portuguese', '(European),', 'Italian,', 'Vietnamese,', 'German,', 'Russian,', 'Spanish']",,https://www.coursera.org/professional-certificates/ibm-data-analyst-r-excel
6,IBM Data Warehouse Engineer Professional Certificate,4.7,8,English,Beginner Level,178,"2,829",4.0,"['English,', 'Arabic,', 'Persian']",,https://www.coursera.org/professional-certificates/data-warehouse-engineering
7,,,,,,,,,,,https://www.coursera.org/professional-certificates/tensorflow-in-practice
8,Microsoft Azure Data Scientist Associate (DP-100)  Professional Certificate,4.5,7,English,Intermediate Level,96,"4,746",4.0,['English'],,https://www.coursera.org/professional-certificates/azure-data-scientist
9,Microsoft Azure Data Engineering Associate (DP-203) Professional Certificate,4.4,13,English,Intermediate Level,297,"9,521",2.0,['English'],,https://www.coursera.org/professional-certificates/microsoft-azure-dp-203-data-engineering
10,IBM Machine Learning Professional Certificate,4.6,8,English,Intermediate Level,815,"3,607",3.0,"['English,', 'French,', 'Portuguese', '(European),', 'Russian,', 'Spanish']",,https://www.coursera.org/professional-certificates/ibm-machine-learning
11,SAS Advanced Programmer Professional Certificate,4.9,5,English,Intermediate Level,218,"4,685",4.0,"['English,', 'Arabic,', 'French,', 'Portuguese', '(European),', 'Italian,', 'Vietnamese,', 'German,', 'Russian,', 'Spanish']",,https://www.coursera.org/professional-certificates/sas-advanced-programmer
12,CertNexus Certified Ethical Emerging Technologist Professional Certificate,4.6,8,English,Beginner Level,265,"8,506",3.0,"['English,', 'Arabic,', 'French,', 'Portuguese', '(European),', 'Italian,', 'Vietnamese,', 'German,', 'Russian,', 'Spanish']",,https://www.coursera.org/professional-certificates/certified-ethical-emerging-technologist
13,IBM AI Engineering Professional Certificate,4.5,9,English,Intermediate Level,"4,693","18,463",3.0,"['English,', 'Arabic,', 'French,', 'Portuguese', '(European),', 'Italian,', 'Vietnamese,', 'Korean,', 'German,', 'Russian,', 'Spanish']",,https://www.coursera.org/professional-certificates/ai-engineer
14,IBM Applied AI Professional Certificate,4.6,6,English,Beginner Level,"5,166","10,829",3.0,"['English,', 'Arabic,', 'French,', 'Portuguese', '(European),', 'Italian,', 'Vietnamese,', 'German,', 'Russian,', 'Spanish,', 'Korean']",,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai
15,Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate,4.6,5,English,Intermediate Level,"6,370","70,478",3.0,"['English,', 'French,', 'Portuguese', '(European),', 'Russian,', 'Spanish']",,https://www.coursera.org/professional-certificates/gcp-data-engineering
16,SAS Visual Business Analytics Professional Certificate,4.7,3,English,Beginner Level,837,"17,920",4.0,['English'],,https://www.coursera.org/professional-certificates/sas-visual-business-analytics
